genotype	sex	age_at_inf	day	outcome	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	age_binary	UID
APOE2	male	23.28571429	13	0	100	96.24573378839591	95.22184300341297	88.05460750853243	83.61774744027304	78.15699658703072	82.25255972696246	84.30034129692832	87.37201365187714	90.44368600682594	90.10238907849829	92.4914675767918	91.12627986348122	92.4914675767918	NA	< 30 weeks	54
APOE2	male	23.28571429	13	0	100	95.87020648967552	97.05014749262537	87.61061946902655	86.13569321533923	87.31563421828909	83.1858407079646	83.48082595870207	84.95575221238938	90.26548672566372	92.92035398230088	93.5103244837758	94.3952802359882	93.80530973451327	NA	< 30 weeks	55
APOE2	male	23.28571429	8	1	100	97.35099337748345	94.03973509933775	86.09271523178809	80.79470198675497	75.82781456953643	73.17880794701988	70.86092715231787	68.87417218543047	NA	NA	NA	NA	NA	NA	< 30 weeks	56
APOE3	male	22.71428571	13	0	100	97.8658536585366	96.34146341463415	89.32926829268294	85.97560975609757	85.97560975609757	85.0609756097561	85.0609756097561	87.8048780487805	90.54878048780488	89.63414634146342	91.15853658536585	91.76829268292684	92.6829268292683	NA	< 30 weeks	57
APOE3	male	22.71428571	13	0	100	97.0873786407767	92.55663430420714	88.02588996763754	82.84789644012946	78.64077669902913	76.05177993527509	75.72815533980582	74.4336569579288	77.02265372168286	78.31715210355988	80.90614886731392	81.55339805825243	86.40776699029126	NA	< 30 weeks	58
APOE3	male	22.71428571	13	0	100	97.77777777777777	98.73015873015873	98.73015873015873	100.63492063492063	100.63492063492063	99.04761904761904	100.31746031746032	99.68253968253967	99.68253968253967	98.4126984126984	101.90476190476193	99.68253968253967	100.31746031746032	NA	< 30 weeks	59
APOE3	male	22.71428571	13	0	100	97.04918032786885	93.11475409836065	86.22950819672131	80.65573770491804	76.72131147540983	74.42622950819671	72.1311475409836	72.45901639344264	75.40983606557377	75.08196721311475	77.37704918032787	78.68852459016394	80	NA	< 30 weeks	60
APOE3	male	22.71428571	13	0	100	97.50692520775624	93.35180055401663	86.98060941828254	80.33240997229917	80.88642659279778	81.7174515235457	84.48753462603878	86.42659279778393	87.25761772853186	87.25761772853186	88.08864265927978	87.53462603878116	88.64265927977839	NA	< 30 weeks	61
APOE4	male	21.42857143	6	1	100	96.36363636363636	89.39393939393939	84.84848484848484	80	78.18181818181819	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	62
APOE4	male	21.42857143	6	1	100	97.8395061728395	92.90123456790124	88.27160493827161	86.41975308641976	83.0246913580247	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	63
APOE4	male	21.71428571	8	1	100	93.87755102040816	88.43537414965988	82.6530612244898	78.91156462585033	75.17006802721089	73.12925170068027	71.08843537414967	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	64
APOE4	male	26.14285714	9	1	100	94.6843853820598	91.36212624584718	83.38870431893687	78.73754152823919	79.06976744186046	75.08305647840533	73.08970099667775	72.42524916943522	NA	NA	NA	NA	NA	NA	< 30 weeks	65
APOE4	male	26.14285714	8	1	100	97.28915662650601	93.37349397590361	84.63855421686746	80.12048192771084	75.6024096385542	71.68674698795179	70.18072289156626	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	66
APOE2	male	18.42857143	4	0	100	95.54140127388536	94.5859872611465	85.98726114649682	79.61783439490446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	67
APOE2	male	18.57142857	4	0	100	99.71181556195965	99.4236311239193	89.91354466858789	86.16714697406339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	68
APOE2	male	18.57142857	2	0	100	96.69669669669672	95.1951951951952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	69
APOE2	male	16.14285714	4	0	100	96.83794466403161	96.04743083003953	89.32806324110672	89.32806324110672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	70
APOE2	male	16.14285714	4	0	100	97.9381443298969	97.59450171821304	92.78350515463917	93.81443298969072	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	71
APOE2	male	16.14285714	2	0	100	93.33333333333333	94.81481481481482	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	< 30 weeks	72
